Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Release_Year
The Land Girls,146083.0,146083.0,,8000000.0,1998-06-12,R,,Gramercy,,,,,,6.1,1071.0,1998
"First Love, Last Rites",10876.0,10876.0,,300000.0,1998-08-07,R,,Strand,,Drama,,,,6.9,207.0,1998
I Married a Strange Person,203134.0,203134.0,,250000.0,1998-08-28,,,Lionsgate,,Comedy,,,,6.8,865.0,1998
Let's Talk About Sex,373615.0,373615.0,,300000.0,1998-09-11,,,Fine Line,,Comedy,,,13.0,,,1998
Slam,1009819.0,1087521.0,,1000000.0,1998-10-09,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62.0,3.4,165.0,1998
Mississippi Mermaid,24551.0,2624551.0,,1600000.0,1999-01-15,,,MGM,,,,,,,,1999
Following,44705.0,44705.0,,6000.0,1999-04-04,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133.0,1999
Foolish,6026908.0,6026908.0,,1600000.0,1999-04-09,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353.0,1999
Pirates,1641825.0,6341825.0,,40000000.0,1986-07-01,R,,,,,,Roman Polanski,25.0,5.8,3275.0,1986
Duel in the Sun,20400000.0,20400000.0,,6000000.0,1946-12-31,,,,,,,,86.0,7.0,2906.0,1946
Tom Jones,37600000.0,37600000.0,,1000000.0,1963-10-07,,,,,,,,81.0,7.0,4035.0,1963
Oliver!,37402877.0,37402877.0,,10000000.0,1968-12-11,,,Sony Pictures,,Musical,,,84.0,7.5,9111.0,1968
To Kill A Mockingbird,13129846.0,13129846.0,,2000000.0,1962-12-25,,,Universal,,,,,97.0,8.4,82786.0,1962
"Tora, Tora, Tora",29548291.0,29548291.0,,25000000.0,1970-09-23,,,,,,,Richard Fleischer,,,,1970
Hollywood Shuffle,5228617.0,5228617.0,,100000.0,1987-03-01,,,,,,,,87.0,6.8,1532.0,1987
Over the Hill to the Poorhouse,3000000.0,3000000.0,,100000.0,1920-09-17,,,,,,,,,,,1920
Wilson,2000000.0,2000000.0,,5200000.0,1944-08-01,,,,,,,,,7.0,451.0,1944
Darling Lili,5000000.0,5000000.0,,22000000.0,1970-01-01,,,,,,,Blake Edwards,,6.1,858.0,1970
The Ten Commandments,80000000.0,80000000.0,,13500000.0,1956-10-05,,,,,,,,90.0,2.5,1677.0,1956
12 Angry Men,0.0,0.0,,340000.0,1957-04-13,,,United Artists,Original Screenplay,Drama,,Sidney Lumet,,8.9,119101.0,1957
Twelve Monkeys,57141459.0,168841459.0,,29000000.0,1995-12-27,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858.0,1995
1776,0.0,0.0,,4000000.0,1972-11-09,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57.0,7.0,4099.0,1972
1941,34175000.0,94875000.0,,32000000.0,1979-12-14,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0,1979
Chacun sa nuit,18435.0,18435.0,,1900000.0,2007-06-29,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365.0,2007
2001: A Space Odyssey,56700000.0,68700000.0,,10500000.0,1968-04-02,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0,1968
"20,000 Leagues Under the Sea",28200000.0,28200000.0,,5000000.0,1954-12-23,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92.0,,,1954
"20,000 Leagues Under the Sea",8000000.0,8000000.0,,200000.0,1916-12-24,,,,Based on Book/Short Story,Adventure,,,,,,1916
24 7: Twenty Four Seven,72544.0,72544.0,,2000000.0,1998-04-15,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417.0,1998
Twin Falls Idaho,985341.0,1027228.0,,500000.0,1999-07-30,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77.0,7.1,2810.0,1999
Three Kingdoms: Resurrection of the Dragon,0.0,22139590.0,,20000000.0,2008-04-03,R,,,Based on Book/Short Story,Action,Historical Fiction,,,,,2008
3 Men and a Baby,167780960.0,167780960.0,,15000000.0,1987-11-25,,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,,5.7,16764.0,1987
3 Ninjas Kick Back,11744960.0,11744960.0,,20000000.0,1994-05-06,PG,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17.0,3.2,3107.0,1994
Forty Shades of Blue,75828.0,172569.0,,1500000.0,2005-09-28,R,,Vitagraph Films,Original Screenplay,Drama,,,,6.0,873.0,2005
42nd Street,2300000.0,2300000.0,,439000.0,1933-03-09,,,Warner Bros.,Based on Book/Short Story,Musical,,,95.0,7.7,4263.0,1933
Four Rooms,4301000.0,4301000.0,,4000000.0,1995-12-25,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14.0,6.4,34328.0,1995
The Four Seasons,42488161.0,42488161.0,,6500000.0,1981-05-22,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71.0,7.0,1814.0,1981
Four Weddings and a Funeral,52700832.0,242895809.0,,4500000.0,1994-03-09,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96.0,7.1,39003.0,1994
51 Birch Street,84689.0,84689.0,,350000.0,2006-10-18,Not Rated,,Truly Indie,,,,,97.0,7.4,439.0,2006
55 Days at Peking,10000000.0,10000000.0,,17000000.0,1962-12-31,,,,Original Screenplay,Drama,,,57.0,6.8,2104.0,1962
Nine 1/2 Weeks,6734844.0,6734844.0,,18000000.0,1986-02-21,,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,,5.4,12731.0,1986
AstÈrix aux Jeux Olympiques,999811.0,132999811.0,,113500000.0,2008-07-04,Not Rated,,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,,,4.9,5620.0,2008
The Abyss,54243125.0,54243125.0,,70000000.0,1989-08-09,PG-13,,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88.0,7.6,51018.0,1989
Action Jackson,20257000.0,20257000.0,,7000000.0,1988-02-12,,,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,,10.0,4.6,3856.0,1988
Ace Ventura: Pet Detective,72217396.0,107217396.0,,12000000.0,1994-02-04,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49.0,6.6,63543.0,1994
Ace Ventura: When Nature Calls,108360063.0,212400000.0,,30000000.0,1995-11-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.6,51275.0,1995
April Fool's Day,12947763.0,12947763.0,,5000000.0,1986-03-27,,,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,,31.0,,,1986
Among Giants,64359.0,64359.0,,4000000.0,1999-03-26,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,,,,5.7,546.0,1999
Annie Get Your Gun,8000000.0,8000000.0,,3768785.0,1950-05-17,,,MGM,Based on Book/Short Story,Musical,,,100.0,7.1,1326.0,1950
Alice in Wonderland,0.0,0.0,,3000000.0,1951-07-28,,,RKO Radio Pictures,Based on Book/Short Story,Musical,,,20.0,6.7,63458.0,1951
The Princess and the Cobbler,669276.0,669276.0,,24000000.0,1995-08-25,G,,Miramax,Original Screenplay,Adventure,Fantasy,,,7.3,893.0,1995
The Alamo,7900000.0,7900000.0,,12000000.0,1960-10-24,PG-13,,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54.0,5.9,10063.0,1960
Alexander's Ragtime Band,4000000.0,4000000.0,,2000000.0,1937-12-31,,,20th Century Fox,Original Screenplay,Drama,,,,,,1937
Alive,36299670.0,36299670.0,,32000000.0,1993-01-15,R,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71.0,3.2,124.0,1993
Amen,274299.0,274299.0,,14000000.0,2003-01-24,Not Rated,,Kino International,Based on Play,Drama,,Costa-Gavras,,7.4,5416.0,2003
American Graffiti,115000000.0,140000000.0,,777000.0,1973-08-11,,,Universal,Original Screenplay,Comedy,,George Lucas,97.0,7.6,30952.0,1973
American Ninja 2: The Confrontation,4000000.0,4000000.0,,350000.0,1986-12-31,,,,Original Screenplay,Action,,Sam Firstenberg,,3.7,2495.0,1986
The American President,60022813.0,107822813.0,,62000000.0,1995-11-17,PG-13,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90.0,6.8,22780.0,1995
Annie Hall,38251425.0,38251425.0,,4000000.0,1977-04-20,,,MGM,Original Screenplay,Comedy,,Woody Allen,98.0,8.2,65406.0,1977
Anatomie,9598.0,9598.0,,2500000.0,2000-09-08,Not Rated,,Sony Pictures,Original Screenplay,Horror,,,,6.1,6266.0,2000
The Adventures of Huck Finn,24103594.0,24103594.0,,6500000.0,1993-04-02,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62.0,5.8,3095.0,1993
The Apartment,18600000.0,24600000.0,,3000000.0,1959-12-31,,,United Artists,Original Screenplay,Romantic Comedy,,Billy Wilder,91.0,8.4,36485.0,1959
Apocalypse Now,78800000.0,78800000.0,3479242.0,31500000.0,1979-08-15,R,,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98.0,8.6,173141.0,1979
Arachnophobia,53208180.0,53208180.0,,31000000.0,1990-07-18,,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85.0,6.2,20528.0,1990
Arn - Tempelriddaren,0.0,14900000.0,,16500000.0,2007-12-25,R,,,Based on Book/Short Story,Action,Historical Fiction,,,6.4,6251.0,2007
